# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
4163.89721025164,23.8321990966797,1.52505660057068,1.52505660057068,0
4164.85609340741,23.0699996948242,1.53461074829102,1.53461074829102,0
4165.81519737962,22.8302001953125,1.51365113258362,1.51365113258362,0
4166.7745222191,22.4687004089355,1.47131872177124,1.47131872177124,0
4167.73406797672,21.7240009307861,1.42016804218292,1.42016804218292,0
4168.69383470335,20.3118000030518,1.37680852413177,1.37680852413177,0
4169.65382244989,17.706600189209,1.36394929885864,1.36394929885864,0
4170.61403126723,23.1378993988037,1.45915138721466,1.45915138721466,0
4171.57446120627,23.316499710083,1.45388615131378,1.45388615131378,0
4172.53511231794,22.3094005584717,1.42788243293762,1.42788243293762,0
4173.49598465317,22.3567008972168,1.38870275020599,1.38870275020599,0
4174.45707826291,19.8428993225098,1.3567259311676,1.3567259311676,0
4175.41839319811,19.9265003204346,1.34403741359711,1.34403741359711,0
4176.37992950974,18.4897994995117,1.3285391330719,1.3285391330719,0
4177.34168724878,19.0205993652344,1.3373908996582,1.3373908996582,0
4178.30366646622,18.7341995239258,1.37182474136353,1.37182474136353,0
4179.26586721306,18.6005001068115,1.40611660480499,1.40611660480499,0
4180.22828954033,21.7472991943359,1.47629821300507,1.47629821300507,0
4181.19093349904,20.6270008087158,1.44878101348877,1.44878101348877,0
4182.15379914023,20.7290992736816,1.43040883541107,1.43040883541107,0
4183.11688651496,20.1986999511719,1.38401579856873,1.38401579856873,0
4184.08019567428,19.8250999450684,1.33588051795959,1.33588051795959,0
4185.04372666927,20.0000991821289,1.32036590576172,1.32036590576172,0
4186.00747955102,19.9680995941162,1.33191812038422,1.33191812038422,0
4186.97145437062,21.5344009399414,1.34397554397583,1.34397554397583,0
4187.93565117919,21.1569004058838,1.29343700408936,1.29343700408936,0
4188.90007002783,18.7392997741699,1.24061453342438,1.24061453342438,0
4189.86471096769,18.7208995819092,1.23025894165039,1.23025894165039,0
4190.82957404991,21.1287994384766,1.28805780410767,1.28805780410767,0
4191.79465932564,20.9580993652344,1.31733441352844,1.31733441352844,0
4192.75996684605,19.3309001922607,1.32677352428436,1.32677352428436,0
